端口id,端口带宽
0,242
1,562
2,1820
3,506
4,135
5,1335
6,1533
7,1594
8,912
9,1420
10,1223
11,1013
12,404
13,273
14,842
15,175
16,1756
17,151
18,176
19,1839
20,1074
21,1889
22,409
23,1970
24,363
25,468
26,1073
27,1010
28,134
29,1054
30,1387
31,1758
32,1877
33,1885
34,347
35,1789
36,1484
37,1804
38,1207
39,233
40,1711
41,1371
42,379
43,341
44,1206
45,515
46,1027
47,404
48,658
49,187
50,285
51,117
52,1757
53,1703
54,741
55,1458
56,1990
57,740
58,1231
59,512
60,578
61,1515
62,477
63,284
64,988
65,1367
66,1611
67,1111
68,1680
69,1233
70,1339
71,1274
