76,5,0
147,5,0
2184,4,0
3894,1,1
2084,1,1
1039,3,2
4280,7,4
3094,7,5
1217,4,5
3795,6,6
994,6,6
3733,6,6
217,2,7
1126,1,9
2727,2,10
3567,0,10
1032,2,11
1697,0,13
2078,0,13
4158,3,13
4236,6,14
2486,5,14
3083,0,15
646,7,19
3844,0,16
2707,6,16
1483,6,28
2774,2,31
2324,6,32
3290,1,39
1525,0,27
2867,2,32
2748,0,42
1554,3,43
3568,3,43
288,6,45
3392,2,45
132,2,45
4931,3,43
4678,4,46
4905,0,51
338,5,50
3900,7,53
4204,3,52
207,1,50
2666,2,52
2540,1,54
3910,3,62
10,0,59
1641,4,61
4778,0,59
389,0,65
1950,5,65
3709,4,67
1007,3,66
301,6,75
334,7,69
4535,4,69
3948,0,75
362,2,67
1750,2,77
873,1,77
1437,3,74
2478,6,83
1120,5,89
1298,2,89
4532,7,92
1443,0,93
4443,7,92
4079,2,89
705,3,94
3129,2,98
1866,1,100
4471,6,118
4760,1,100
960,3,94
2736,2,98
1226,4,74
2200,0,93
90,4,101
661,0,121
4745,7,121
3522,0,129
3679,2,131
43,0,136
2910,2,138
4394,7,123
456,5,132
2941,2,138
863,4,104
3011,7,140
4409,0,142
4925,3,143
2416,5,144
4011,7,140
2971,2,147
2307,1,142
3597,3,143
315,4,107
1595,0,149
2104,6,118
4080,4,116
3096,2,147
3558,1,149
1825,5,55
4603,7,102
3167,2,151
4721,0,149
1271,7,157
2996,1,154
1555,3,158
3879,4,117
998,2,60
1085,0,85
408,7,123
4736,6,74
2766,6,51
4580,0,118
2842,4,106
2455,2,65
477,2,103
2554,3,36
3350,0,161
1317,3,160
663,7,157
4378,1,160
3772,0,161
1943,5,162
71,0,162
703,2,151
2702,3,163
4083,2,167
1810,2,167
4884,6,167
495,1,170
3304,0,173
3116,6,167
600,7,177
2661,5,162
3931,7,177
357,0,181
4673,3,182
4553,5,184
2558,6,175
322,3,186
1977,0,188
4008,6,209
2552,2,209
3502,2,209
1110,6,209
3895,4,129
4114,3,186
785,1,170
4335,7,148
1308,3,157
2417,0,137
693,6,33
1490,4,65
2440,0,77
2211,2,50
4132,4,63
783,6,60
461,7,113
3147,0,137
4679,3,51
1216,0,106
4391,5,106
4579,2,213
3740,2,214
26,3,214
4178,0,216
1982,2,218
368,3,220
478,1,191
1463,1,220
3169,7,214
3268,7,222
937,0,222
365,0,222
2288,2,226
3192,0,225
4637,7,229
4502,5,231
903,3,220
2349,3,237
1046,3,237
1024,7,241
169,1,241
1884,1,241
4890,0,242
4771,6,248
2202,0,250
3300,5,252
2639,0,252
1099,2,254
4074,0,252
2576,7,255
4591,1,241
1536,2,256
3213,5,252
3983,2,256
1464,4,158
3930,6,248
2893,4,163
1580,0,162
3017,5,183
4869,5,175
2624,0,173
3784,0,164
4028,0,185
4934,1,177
2390,6,163
3055,7,103
1651,3,157
1759,4,39
159,4,132
2968,6,132
1820,2,39
1974,0,78
545,6,160
2887,3,52
798,1,42
1262,3,25
4789,2,145
2297,3,92
2164,3,265
2844,1,267
1602,3,267
2487,1,269
4887,3,271
1560,7,273
