流id,流带宽，起始时间，发送时间
0,203,1658,20
1,91,2389,14
2,68,1154,9
3,381,2532,17
4,70,2465,10
5,189,2989,5
6,201,1933,36
7,347,1778,21
8,246,837,36
9,300,2135,17
10,224,57,6
11,20,2909,43
12,144,2506,32
13,52,2991,21
14,142,782,37
15,66,583,35
16,270,329,21
17,169,446,20
18,190,2894,8
19,300,2213,14
20,66,2406,19
21,314,2442,25
22,116,991,19
23,356,764,3
24,65,1065,31
25,96,2780,49
26,296,158,6
27,288,2799,26
28,130,1128,34
29,316,2783,38
30,358,1127,29
31,62,2626,45
32,269,1328,40
33,117,2404,41
34,158,995,2
35,210,479,46
36,51,698,22
37,132,412,10
38,293,185,37
39,33,2466,44
40,330,509,41
41,66,2359,8
42,330,1516,8
43,387,88,13
44,392,507,31
45,298,250,432
46,153,1743,40
47,351,286,15
48,112,1233,23
49,40,250,33
50,220,2443,7
51,394,816,17
52,377,1926,37
53,49,2755,14
54,195,2769,11
55,325,2168,17
56,26,1811,43
57,311,1931,44
58,202,2083,20
59,98,1591,43
60,254,2296,435
61,43,323,22
62,142,2229,18
63,167,1973,23
64,344,2758,23
65,178,2543,9
66,353,1589,48
67,118,330,1
68,142,2861,22
69,213,913,41
70,232,2909,44
71,310,129,26
72,383,1713,50
73,52,191,11
74,248,1061,45
75,329,2160,32
76,186,0,3
77,232,1278,30
78,62,770,36
79,225,2971,327
80,21,2779,27
81,21,874,1
82,70,2767,34
83,352,780,8
84,372,813,20
85,223,746,7
86,160,2570,318
87,88,1855,8
88,350,2677,34
89,162,1421,8
90,125,76,3
91,181,2789,17
92,379,1502,37
93,384,2488,42
94,242,2638,30
95,126,1525,35
96,24,1538,38
97,190,567,10
98,67,1382,24
99,38,1385,50
100,96,168,18
101,222,2389,19
102,78,2246,9
103,44,1958,47
104,393,1261,12
105,188,290,20
106,70,1225,27
107,192,2297,31
108,79,1407,8
109,39,2865,32
110,371,1236,22
111,309,637,11
112,53,1538,41
113,133,346,13
114,70,250,375
115,168,1613,36
116,319,1837,32
117,236,2926,44
118,153,342,24
119,240,2397,50
120,52,786,23
121,251,2875,2
122,274,2772,13
123,348,1630,17
124,94,172,14
125,213,428,13
126,73,1481,35
127,308,2442,32
128,236,1662,41
129,185,2134,32
130,363,2041,32
131,132,827,35
132,182,39,22
133,95,1318,3
134,99,1052,39
135,387,1552,38
136,63,2893,31
137,135,2115,3
138,27,534,3
139,96,1837,22
140,278,2687,30
141,37,1565,34
142,285,2350,6
143,238,2458,5
144,326,844,19
145,331,1711,31
146,356,2401,345
147,174,0,48
148,190,2076,37
149,175,268,32
150,51,1671,25
151,142,670,42
152,48,1175,47
153,92,147,31
154,61,2014,39
155,200,2758,45
156,258,1684,3
157,71,1583,30
158,30,1928,50
159,87,132,39
160,378,2580,21
161,119,2249,42
162,271,1570,50
163,378,454,4
164,192,1913,40
165,385,2664,8
166,85,2547,19
167,368,1587,19
168,116,497,34
169,210,156,26
170,343,780,30
171,268,308,3
172,361,1046,2
173,137,2331,37
174,277,382,50
175,279,2861,34
176,238,1250,8
177,73,2318,28
178,232,1702,5
179,248,639,47
180,35,1765,44
181,149,2034,21
182,82,321,23
183,196,1471,45
184,138,1424,336
185,93,1498,5
186,357,851,1
187,23,2759,47
188,32,1201,24
189,115,2477,15
