端口id,端口带宽
0,1262
1,861
2,1353
3,1972
4,671
5,1556
6,726
7,1121
8,519
9,1520
10,565
11,143
12,1042
13,1386
14,397
15,259
16,145
17,1730
18,1899
19,1886
20,1276
21,257
22,1785
23,648
24,322
25,825
26,1539
27,1855
28,757
29,1747
30,1772
31,1632
32,552
33,1863
34,1907
35,1331
36,1581
37,945
38,110
39,601
40,991
41,1409
42,1262
43,452
44,535
45,1397
46,1933
47,1018
48,1752
49,262
50,1300
51,1798
52,1330
53,222
54,1733
55,1279
56,1681
57,1879
58,1878
59,1099
60,656
61,775
62,1057
63,715
64,1185
65,1674
66,1828
67,496
68,363
69,805
70,735
71,929
72,191
73,1101
74,568
75,1975
76,362
77,111
78,1220
79,1085
80,1118
81,1985
82,795
83,1189
84,684
85,964
86,1983
87,368
88,1198
89,691
90,1682
91,1412
92,1779
93,1098
94,1823
95,1379
