流id,流带宽，起始时间，发送时间
0,247,13655,299
1,456,11366,40
2,513,16403,295
3,627,2013,157
4,342,12938,235
5,741,2841,83
6,513,4477,183
7,418,11545,78
8,627,11893,197
9,399,3956,181
10,209,6087,287
11,665,13508,258
12,475,837,273
13,779,10489,90
14,437,3117,214
15,741,10191,189
16,513,8499,71
17,665,19509,79
18,304,576,179
19,760,16778,180
20,342,5819,197
21,304,5843,17
22,855,10293,68
23,931,13508,226
24,551,12503,175
25,456,9491,234
26,646,17018,257
27,950,8485,199
28,247,4651,139
29,494,17053,87
30,817,12740,76
31,684,1572,108
32,285,17732,217
33,817,16618,34
34,855,10800,101
35,836,16993,177
36,646,4514,112
37,437,16148,111
38,817,12596,199
39,456,17148,38
40,779,292,277
41,893,256,197
42,912,5201,255
43,760,17630,157
44,380,13374,105
45,323,3255,864
46,893,6352,222
47,817,2367,290
48,380,5705,92
49,893,8180,235
50,570,302,155
51,893,17493,210
52,418,9131,226
53,513,4300,15
54,437,9210,246
55,836,1598,17
56,855,12077,53
57,665,6689,125
58,912,4213,71
59,304,3020,38
60,855,2313,277
61,266,2882,183
62,684,2665,100
63,380,4598,177
64,380,7591,255
65,209,13751,183
66,323,3234,144
67,646,3956,270
68,836,4527,172
69,931,15591,127
70,912,12483,247
71,817,4151,1032
72,532,3299,297
73,494,6173,192
74,703,5439,85
75,494,4405,39
76,247,7444,289
77,380,6019,984
78,456,4975,14
79,722,8284,289
80,741,9988,109
81,304,6471,134
82,475,2588,266
83,513,4452,103
84,665,11546,195
85,779,17063,61
86,855,4450,162
87,247,17671,203
88,627,8770,114
89,532,11786,1
90,950,6563,154
91,570,2059,84
92,551,4743,83
93,741,10729,64
94,342,15777,286
95,855,19965,254
96,931,9052,5
97,741,4254,278
98,874,10863,249
99,285,16937,41
100,551,17169,28
101,532,16387,228
102,646,13923,205
103,437,4174,238
104,342,942,11
105,437,8060,256
106,266,6940,203
107,285,14657,228
108,570,7527,87
109,798,7594,85
110,361,7898,90
111,665,15324,120
112,627,3251,235
113,798,8249,226
114,494,14870,56
115,703,8185,167
116,494,6862,133
117,931,10188,199
118,665,3681,267
119,304,3351,181
120,475,205,258
121,437,15290,155
122,855,10788,89
123,247,3934,287
124,950,13326,80
125,285,15177,253
126,855,19211,199
127,741,19040,173
128,608,12574,273
129,456,9205,194
130,817,19024,142
131,361,251,62
132,646,16362,181
133,513,15039,181
134,722,10690,83
135,323,14731,17
136,399,7332,113
137,323,15797,85
