端口id,端口带宽
0,279
1,746
2,765
3,450
4,558
5,261
6,319
7,692
8,560
9,414
10,512
11,627
12,799
13,370
14,694
15,734
16,550
17,441
18,655
19,512
20,730
21,417
22,490
23,640
24,706
25,622
26,532
27,512
28,591
29,653
30,718
31,730
32,249
33,305
34,232
35,631
36,497
37,771
38,505
39,344
40,521
41,550
42,800
43,378
44,669
45,311
46,736
47,443
48,363
49,685
50,307
51,688
52,558
53,395
54,735
55,421
56,304
57,794
58,511
59,516
60,556
61,780
62,237
63,736
64,262
65,725
66,650
67,229
68,721
69,554
70,227
71,734
